State,FIPS,Name,Area,People2010
IL,17015,Carroll County,444.81,15387
IL,17017,Cass County,375.82,13642
IL,17019,Champaign County,996.27,201081
IL,17021,Christian County,709.38,34800
IL,17023,Clark County,501.42,16335
IL,17025,Clay County,468.32,13815
IL,17027,Clinton County,474.09,37762
IL,17029,Coles County,508.29,53873
IL,17031,Cook County,945.33,5194675
IL,17033,Crawford County,443.63,19817
IL,17035,Cumberland County,346.02,11048
IL,17037,DeKalb County,631.31,105160
IL,17039,De Witt County,397.51,16561
IL,17041,Douglas County,416.66,19980
IL,17043,DuPage County,327.50,916924
IL,17045,Edgar County,623.37,18576
IL,17047,Edwards County,222.42,6721
IL,17049,Effingham County,478.78,34242
IL,17051,Fayette County,716.48,22140
IL,17053,Ford County,485.62,14081
IL,17055,Franklin County,408.89,39561
IL,17057,Fulton County,865.59,37069
IL,17059,Gallatin County,323.07,5589
IL,17061,Greene County,543.02,13886
IL,17063,Grundy County,418.04,50063
IL,17065,Hamilton County,434.67,8457
IL,17067,Hancock County,793.73,19104
IL,17069,Hardin County,177.53,4320
IL,17071,Henderson County,378.87,7331
IL,17073,Henry County,822.99,50486
IL,17075,Iroquois County,1117.32,29718
IL,17077,Jackson County,584.08,60218
IL,17079,Jasper County,494.51,9698
IL,17081,Jefferson County,571.17,38827
IL,17083,Jersey County,369.27,22985
IL,17085,Jo Daviess County,601.09,22678
IL,17087,Johnson County,343.92,12582
IL,17089,Kane County,520.06,515269
IL,17091,Kankakee County,676.56,113449
IL,17093,Kendall County,320.34,114736
IL,17095,Knox County,716.39,52919
IL,17097,Lake County,443.67,703462
IL,17099,LaSalle County,1135.12,113924
IL,17101,Lawrence County,372.18,16833
IL,17103,Lee County,724.90,36031
IL,17105,Livingston County,1044.29,38950
IL,17107,Logan County,618.06,30305
IL,17109,McDonough County,589.41,32612
IL,17111,McHenry County,603.17,308760
IL,17113,McLean County,1183.38,169572
IL,17115,Macon County,580.69,110768
IL,17117,Macoupin County,862.91,47765
IL,17119,Madison County,715.58,269282
IL,17121,Marion County,572.36,39437
IL,17123,Marshall County,386.79,12640
IL,17125,Mason County,539.24,14666
IL,17127,Massac County,237.22,15429
IL,17129,Menard County,314.44,12705
IL,17131,Mercer County,561.20,16434
IL,17133,Monroe County,385.01,32957
IL,17135,Montgomery County,703.69,30104
IL,17137,Morgan County,568.79,35547
IL,17139,Moultrie County,335.94,14846
IL,17141,Ogle County,758.57,53497
IL,17143,Peoria County,619.21,186494
IL,17145,Perry County,441.76,22350
IL,17147,Piatt County,439.20,16729
IL,17149,Pike County,831.38,16430
IL,17151,Pope County,368.77,4470
IL,17153,Pulaski County,199.18,6161
IL,17155,Putnam County,160.16,6006
IL,17157,Randolph County,575.50,33476
IL,17159,Richland County,359.99,16233
IL,17161,Rock Island County,427.64,147546
IL,17163,St. Clair County,657.76,270056
IL,17165,Saline County,379.82,24913
IL,17167,Sangamon County,868.30,197465
IL,17169,Schuyler County,437.27,7544
IL,17171,Scott County,250.91,5355
IL,17173,Shelby County,758.52,22363
IL,17175,Stark County,288.08,5994
IL,17177,Stephenson County,564.52,47711
IL,17179,Tazewell County,648.97,135394
