Data;Retorno;Volume
23/04/1965;0,001563214;240000
26/04/1965;0,002602858;228000
27/04/1965;0;174000
28/04/1965;0;156000
29/04/1965;0,002087511;174000
30/04/1965;0,010416334;324000
03/05/1965;0,003093048;144000
04/05/1965;0,002380218;210000
05/05/1965;0,001032105;408000
06/05/1965;0,010308851;414000
07/05/1965;0,010203663;378000
10/05/1965;0,012371968;294000
11/05/1965;0,002088437;150000
12/05/1965;0,010155791;240000
13/05/1965;0,001804787;294000
14/05/1965;0,00516482;102000
17/05/1965;0,014538973;282000
18/05/1965;0,003162101;330000
19/05/1965;0,004201614;198000
20/05/1965;0,010460349;216000
21/05/1965;0,008455996;276000
24/05/1965;0,01918972;438000
25/05/1965;0,023912379;354000
26/05/1965;0,008492435;378000
27/05/1965;0,001070244;330000
28/05/1965;0,024651125;282000
01/06/1965;0,019874558;246000
02/06/1965;0,013873983;468000
03/06/1965;0,008420921;414000
04/06/1965;0,007430215;366000
07/06/1965;0,001051741;324000
