Apolice;Inicio de vigência;Fim de vigência;Qtd_Sinistros;sin_liq_casco
14383;07/05/2021;07/05/2022;1;4009.88
14385;14/12/2021;14/12/2022;1;2558.68
14392;26/10/2021;26/10/2022;1;7580.26
14429;11/06/2021;11/06/2022;1;5492.88
14430;01/07/2021;01/07/2022;1;1000
14450;17/06/2021;17/06/2022;1;18095.89
14474;06/04/2021;06/04/2022;1;1013.96
14505;27/07/2021;27/07/2022;1;93564
14609;28/05/2021;28/05/2022;1;6042.23
14656;27/03/2021;27/03/2022;1;2815.02
14696;24/10/2021;24/10/2022;1;7068
14714;07/05/2021;07/05/2022;1;4009.88
14715;07/05/2021;07/05/2022;1;2558.68
14761;11/06/2021;11/06/2022;1;5492.88
14763;01/07/2021;01/07/2022;1;1000
14764;20/12/2021;20/12/2022;1;2816.91
14810;06/04/2021;06/04/2022;1;1013.96
14986;25/08/2021;25/08/2022;1;1681.27
15063;17/12/2021;17/12/2022;1;1000
15074;16/11/2021;16/11/2022;1;2808.37
15082;04/03/2021;04/03/2022;1;3877.08
15158;12/11/2021;12/11/2022;1;1894.2
15164;18/01/2021;18/01/2022;1;1766.48
15178;14/12/2021;14/12/2022;1;1000
15190;26/10/2021;26/10/2022;1;2396.09
15243;16/03/2021;16/03/2022;1;16696
15254;30/12/2021;30/12/2022;1;9391.34
15347;25/08/2021;25/08/2022;1;1681.27
15423;17/12/2021;17/12/2022;1;1000
15436;16/11/2021;16/11/2022;1;2808.37
15442;04/03/2021;04/03/2022;1;3877.08
15497;25/02/2021;25/02/2022;1;1923.34
15521;18/01/2021;18/01/2022;1;1766.48
15543;09/02/2021;09/02/2022;1;1724.59
15549;26/10/2021;26/10/2022;1;2396.09
15607;16/03/2021;16/03/2022;1;16696
15621;30/12/2021;30/12/2022;1;9391.34
15623;27/01/2021;27/01/2022;1;2813.86
15793;10/09/2021;10/09/2022;1;1317.48
15818;04/01/2021;04/01/2022;1;6771.28
15820;26/08/2021;26/08/2022;1;14499.81
15866;03/07/2021;03/07/2022;1;1757.93
15871;22/03/2021;22/03/2022;1;3352.27
15876;23/03/2021;23/03/2022;1;1000
15910;14/04/2021;14/04/2022;1;2304.98
15916;16/11/2021;16/11/2022;1;1000
15939;03/02/2021;03/02/2022;1;1045.18
15965;01/09/2021;01/09/2022;1;3952.42
15986;30/04/2021;30/04/2022;1;4975.34
16145;10/09/2021;10/09/2022;1;1317.48
16170;04/01/2021;04/01/2022;1;6771.28
16217;03/07/2021;03/07/2022;1;1757.93
16220;22/03/2021;22/03/2022;1;3352.27
16225;23/03/2021;23/03/2022;1;1000
16244;03/04/2021;03/04/2022;1;1000
16247;12/03/2021;12/03/2022;1;8991.58
16267;16/11/2021;16/11/2022;1;1000
16285;05/04/2021;05/04/2022;1;1000
16292;03/02/2021;03/02/2022;1;1045.18
